Question,Context,Answer 1,Score 1,Feedback 1,Answer 2,Score 2,Feedback 2
What non-food items can trigger wheat allergy?,"It can be a challenge to avoid wheat because it's in so many things. Foods with wheat protein include: Bran Bread crumbs Bulgur Couscous Durum, durum flour, and durum wheat Einkorn Farina Farro (also known as emmer) Kamut Semolina Sprouted wheat Triticale Wheat (bran, germ, gluten, grass, malt, starch) Wheat berries Wheat flour (all types, including all-purpose, cake, enriched, graham, high protein or high gluten, and pastry) If you see any of these listed on a label, the food may have wheat in it: Gelatinized starch Gluten or vital gluten Hydrolyzed vegetable protein Natural flavoring Starch, modified starch, modified food starch Vegetable gum or starch You may be allergic to some other grains, too. Other non-food items such as shampoos and conditioners, lotions, and cosmetics may, too. You're not going to eat them, obviously, but ask your doctor if you need to avoid touching them.","Shampoos, conditioners, lotions, cosmetics.",10,Correct and concise answer.,"Soap, detergent, clothing, pet hair.",3,"Incorrect items listed, focus on non-food triggers."
How is rectal cancer staged?,The cancer is found only in the innermost lining of the colon.,Rectal cancer is staged using the TNM system.,10,Correct and concise answer.,Staging is done based on the tumor size.,6,"Partially correct, remember to include lymph nodes and metastasis in staging."
What is stage 3 colon cancer?,"The cancer has spread outside the colon to other parts of the body, such as the liver or the lungs.",Cancer has spread outside the colon to other organs.,10,Correct and concise answer addressing the spread of cancer.,Cancer in colon that has spread to organs.,8,"Good attempt, but could specify which organs are affected."
What is stage 0 colon cancer?,This is the earliest stage. The cancer is found only in the innermost lining of the colon.,Cancer found only in inner lining of colon.,9,"Clear and concise answer, well done.","Cancer in early stage, not spread beyond lining.",7,"Good attempt, could be more specific about location in colon."
What is stage 4 colon cancer?,"The cancer has spread outside the colon to other parts of the body, such as the liver or the lungs. The tumor can be any size. It may or may not include affected lymph nodes.","Cancer spreads outside colon, affects organs.",10,Detailed and accurate.,Cancer remains confined to colon only.,4,"Inaccurate, missing information about spread to other organs."
What is stage 2 colon cancer?,"The tumor extends through the muscular wall of the colon and may also have invaded/adhered to nearby organs. But there is no cancer in the lymph nodes, which are small structures throughout the body that make and store cells that fight infection.","Tumor extends through colon wall, no lymph node involvement.",10,Accurate and concise description of stage 2 colon cancer.,Cancer in the colon that hasn't spread.,5,"Partially correct, but missing details about tumor invasion."
What is stage 1 colon cancer?,The cancer is found only in the innermost lining of the colon. But it hasn't spread to the outer wall or outside the colon.,Cancer found only in innermost lining of colon.,10,Correct and concise answer.,Cancer that has spread to outer wall.,3,"Incorrect, as it hasn't spread outside the colon."
What is stage 0 rectal cancer?,"To treat this early stage cancer, a surgeon can remove the tumor or a small section of the rectum where the cancer is. The tumor has broken through the inner lining of the rectum.",Early stage cancer where tumor can be surgically removed.,9,"Good explanation, could be more detailed.",Cancer that has broken through the inner rectal lining.,6,"Partially correct, missing surgical removal aspect."
When is pain from bursitis the most severe?,"The pain from bursitis tends to be most severe while you use the joint, but it can also hurt at night.",Pain from bursitis is most severe while using the joint.,10,Correct and concise answer.,Pain from bursitis is most severe while sitting.,3,"Incorrect, the pain is usually worse with movement, not sitting."
When are you most likely to get bursitis and where?,"You're more likely to get bursitis at an older age. One of the most common places it strikes is the shoulder, which has the greatest range of motion of all the body's major joints. If you get bursitis there, you'll likely feel pain along the outside top of your shoulder. Besides the shoulder, other joints where you can get bursitis are the elbows, hips, and knees.","Bursitis is more common in older individuals and can affect the shoulders, elbows, hips, and knees.",10,"Excellent answer, all relevant information provided clearly.","Bursitis can happen at any age and in various joints like the shoulders, elbows, hips, and knees.",8,"Good attempt, but could specify that it is more common in older individuals for a more accurate answer."
Who's most likely to get bursitis?,"Bursitis may show up in people such as: Manual workers. If you do a lot of heavy lifting or repetitive motion on the job, it can strain your joints and bring on bursitis. Athletes. We're not only talking about professional players here. Even if you're just a weekend warrior, you can get bursitis after running, throwing, jumping, or making aggressive arm swings in tennis, baseball, and even bowling. Couch potatoes. No, you won't get bursitis from sitting on the sofa watching TV. But if you're out of shape and push your body too hard during exercise, you can raise your chance of having the condition. Always start a new workout routine gradually.",Manual workers and athletes are at higher risk.,9,"Good answer, covers key groups at risk.",Anyone who does repetitive motions or lacks fitness.,8,"Solid answer, could be more specific about activities."
What is the first sign of bursitis?,"The first sign of trouble is pain, along with swelling and tenderness in the area.","Pain, swelling, tenderness in the affected area.",10,Correct and concise answer.,Pain is the first sign.,8,"Good start, but could have mentioned swelling and tenderness as well."
What is the difference between bursitis and tendinitis?,"Is one of your joints swollen and tender, and does it hurt when you move? Bursitis is different from tendinitis, which is inflammation or irritation in the cord, or tendon, that attaches your muscle to bone.","Bursitis is inflammation of a fluid-filled sac, tendinitis is inflammation of a tendon.",10,"Perfect explanation, clear and concise.","Bursitis is when your joint is swollen and tender, tendinitis is irritation in the tendon.",5,"Good attempt, but could be more specific about the inflammation of the tendon."
What are the side effects of botulinum toxin?,"Botulinum toxin might cause: Weakness in the muscle and the ones near it after an injection that may keep you from using those parts of your body. The problem doesn't last long. It's rare, but some people get flu-like symptoms 1 week after the injections. They usually only last for about a day.","Weakness in muscles near injection site, flu-like symptoms.",8,Good job summarizing the main side effects.,Muscle weakness and flu-like symptoms may occur.,7,Try to be more specific about the timing and duration of the symptoms.
How does multiple sclerosis distort the electrical messages in the muscles?,"These messages travel from the nerves to the muscles via a chemical called acetylcholine. But if you have MS, the disease damages the nerves and throws those signals out of sync. It makes your muscles tense up and move when you don't want them to.","MS damages nerves, causing signals to be out of sync.",8,"Good explanation, but could be more detailed.",MS affects the nerves and muscle movements.,6,"Partial answer, needs more detail on how signals are distorted."
What is botulinum toxin?,"There are four types: Onabotulinumtoxin A ( Botox/ Botox Cosmetic) Rimabotulinumtoxin B ( Myobloc) Abobotulinumtoxin A ( Dysport) Incobotulinumtoxin A ( Xeomin) These drugs also treat other problems, including a condition in which the neck muscles contract over and over (cervical dystonia), migraine headaches, and blinking you can't control (blepharospasm). Botox is the drug that people use to smooth wrinkles. Botulinum toxin blocks acetylcholine, which lets the muscle relax.",Botulinum toxin is a neurotoxic protein produced by Clostridium botulinum.,10,Clear and accurate explanation.,Botulinum toxin is a drug used for treating muscle spasms.,7,"Partially correct, but could mention other uses and how it works."
What physical traits can make Iliotibial (IT) band syndrome more likely?,"Some traits raise your chances of getting IT band syndrome: Bowed legs Knee arthritis One leg that's longer than the other Rotating your foot or ankle inward when you walk or run Rotating your whole leg inward when you walk or run Weakness in your abs, glutes, or hip muscles The main symptom is pain on the outer side of your knee, just above the joint.","Bowed legs, knee arthritis, one leg longer",9,Good job! Comprehensive list of relevant traits.,"Weakness in abs, glutes, or hip muscles",7,"Partial answer, missing other key traits like foot rotation."
What surfaces can make IT band syndrome more likely?,"Running downhill Running only on one side of the road. Because roads slope toward the curb, your outside foot is lower, which tilts your hips and throws your body off. Training on banked, rather than flat, surfaces. Most running tracks are slightly banked.",Running downhill or on banked surfaces.,10,Correct and concise answer.,Running on one side of the road.,5,"Partially correct, missed mentioning banked surfaces."
When should you call the doctor about a cold?,"Talk to the pediatrician if your child doesn't get better after a few days. Also call if he has a high fever, vomiting, chills and shakes, a hacking cough, any respiratory distress, or extreme fatigue. These may be signs of something more severe, like the flu or a bacterial infection. If your child has asthma, diabetes, or other long-term health conditions, call your pediatrician to talk about medicine or other treatments. Also watch for signs of complications of the flu, such as pneumonia. Symptoms include a low-grade fever (less than 102 F), coughing up mucus, achiness, labored or fast breathing, and tiredness. Contact the pediatrician immediately if any of these symptoms appear.","If your child has a high fever, vomiting, chills, shaking, hacking cough, respiratory distress, or extreme fatigue.",10,The answer covers all key symptoms to look out for.,Call the doctor if your child's cold doesn't improve after a few days.,8,"Good, but could have included more specific symptoms to watch out for."
How can you stop your child from getting a cold?,"Your child can get sick when someone who's got a cold touches an object that's later touched by your child. Door handles, stair railings, books, pens, video game remotes, and a computer keyboard are some common ""carriers"" of cold viruses. They can live on one of those objects for several hours. Washing hands is the best defense. Teach your child to do it after every bathroom trip, before every meal, and after playing at school or at home. It takes 20 seconds of hand washing with warm, soapy water to get rid of germs. Tell your child to sing "" Happy Birthday to You"" twice to know that he's washed long enough. Using hand sanitizer is also a good option to prevent the spread of germs. If your child has a cold, make sure you protect others from catching it. If he has symptoms, keep him home from school and avoid contact with other children. Encourage your child to cover his mouth when sneezing and to use a tissue when he blows his nose. If he doesn't have a tissue, teach him to cough in his sleeve. Remind your child to wash his hands after coughing, sneezing or blowing his nose.",Teach your child to wash hands frequently.,9,Good job! Clear and concise answer.,Tell your child to avoid people with colds.,6,"Partial answer, missing key prevention methods like hand washing."
Are cold medicines safe for kids?,"These include things like: Cough suppressants (dextromethorphan or DM) Cough expectorants (guaifenesin) Decongestants (pseudoephedrine and phenylephrine) Antihistamines (such as brompheniramine, chlorpheniramine maleate, diphenhydramine, and others) These drugs are the active ingredients in many brands of kids' cold and cough medicines. Generally speaking, children should not be using cough medicines. Coughing is the body's natural way of helping the body get rid of the cold virus. It's OK to let your child cough, unless he is in distress.","No, children should not be using cough medicines.",10,Correct and concise answer.,"Yes, they are safe as long as used properly.",4,"Incorrect, children should not be using cough medicines."
What are the symptoms of a cold in children?,"As your child's cold gets worse, he may wake up with symptoms like these: Watery mucus in the nose Watery or crusty eyes Sneezing Feeling of tiredness Fever (sometimes) Sore throat Cough A cold virus can affect your child's sinuses, throat, bronchial tubes, and ears. He may also have diarrhea and vomiting. At first your child may be irritable and complain of a headache and feeling stuffed up. After a while, the mucus coming out of his nose may turn darker and thicker.","Sinuses, throat, bronchial tubes, ears, digestive system.",10,Excellent! You covered all the areas affected by a cold virus in a child's body.,"Nose, throat, ears, headache.",7,"Good attempt, but you missed mentioning the bronchial tubes and the possibility of diarrhea and vomiting."
What should you expect if your child gets a cold?,"When your child gets a cold, it starts when he has a general feeling of not being well, often followed by a sore throat, runny nose or cough. At the beginning, the sore throat is due to a buildup of mucus. Later, your child may get a postnasal drip -- when the mucus runs down the back of his nose to the throat.","Sore throat, runny nose, cough, postnasal drip.",10,Great job mentioning all common symptoms.,"Sore throat, cough, mucus buildup, feeling unwell.",7,"Good attempt, but missed mentioning runny nose and postnasal drip."
How often will your child get a cold?,"Kids who are preschool age have around nine colds a year, while kindergartners can have 12 a year. Adolescents and adults get about two to four a year. Cold season runs from September until March or April, so children usually get sick most often during these months.",Preschoolers get around 9 colds a year.,10,"Perfect answer, well done!",Kids can have 12 colds a year.,8,"Close to correct, but more specific information would improve the answer."
What is an allergy?,"Allergies are very common. At least 1 in 5 Americans has one. It starts when you come into contact with a trigger that you inhale, swallow, or get on your skin.",An allergy is a reaction to triggers like food.,8,"Good explanation, could be more specific.","Allergies are caused by inhaling, swallowing, or skin contact.",6,"Good attempt, but missing mention of commonality and prevalence."
What are symptoms of an allergy?,"Your symptoms depend on how you're exposed -- through the air, your skin, food, or through an insect sting. If you've got a nasal allergy (one that's triggered by something you inhale), common symptoms include: Itchy, watery eyes Sneezing Itchy, runny nose Feeling tired or ill Common symptoms of a skin allergy include rashes and hives (a rash with raised red patches).","Symptoms depend on exposure: itchy eyes, sneezing, runny nose.",10,Good job covering different types of allergies and symptoms.,"Symptoms include tiredness, skin rashes, hives, and itching.",8,"Good mention of skin symptoms, could include more details on other types of allergies."
What happens during an allergic reaction?,"It starts when you come into contact with a trigger that you inhale, swallow, or get on your skin. In response, your body starts to make a protein called Ig E, which grabs onto the allergen. Then histamine and other chemicals get released into the blood. That causes the symptoms you notice.","Body makes Ig E, releases histamine causing symptoms.",9,"Good explanation, clear and concise.","Body reacts to trigger, releases chemicals, causes symptoms.",7,"Missing mention of Ig E protein, could be more specific."
What are common symptoms of skin allergy?,"If you've got a nasal allergy (one that's triggered by something you inhale), common symptoms include: Itchy, watery eyes Sneezing Itchy, runny nose Feeling tired or ill Common symptoms of a skin allergy include rashes and hives (a rash with raised red patches).",Skin allergies can cause rashes and hives.,10,Correct and concise answer.,Skin allergies make your skin itchy and red.,9,"Good description, could include more symptoms like swelling."
What are common side effects from epinephrine auto-injector shots?,"The common side effects from the epinephrine injection are dizziness, restlessness, anxiety, and shakiness. In rare cases, they may be more severe.","Dizziness, restlessness, anxiety, shakiness, potentially severe effects.",10,Comprehensive and accurate answer.,"Dizziness, anxiety, shakiness.",5,Missing restlessness and potentially severe effects.
What are general times to give an auto-injector shot?,"There are many cases when you, or someone you know, need to use an auto-injector, but two general ones are: You have a life-threatening allergy and you know you've had contact with your allergy trigger. An example: If you have a peanut allergy and your boyfriend ate some peanuts and then kissed you, don't wait for symptoms -- take the epinephrine right away. You have allergy symptoms -- even if you don't know the trigger. Those symptoms can include: Trouble breathing, wheezing, or your airways shut down Your face, mouth, lips, or tongue swell Skin reactions like hives, itching, flushing Nausea, stomach pain, vomiting, or diarrhea You get dizzy, faint, or collapse Take these steps after the first injection: If there's no relief, take a second dose.",When experiencing severe allergy symptoms.,10,Correct and concise answer.,When you feel a little bit sick.,4,The answer is vague and does not specify severe symptoms.
What are tips to keep in mind about carrying my auto-injector?,"The device won't do you any good if you don't have it with you. When you pick up your prescription at the drugstore, you'll get two injectors. Carry both with you at all times in case one doesn't work or you have a reaction needs a second dose. Extreme heat and cold can damage the medication in your auto-injectors, so store them at room temperature. Don't leave them in your car. The injectors are usually good for a year, so keep track of the date on the box.",Auto-injectors are usually good for a year.,10,Correct and to the point.,Auto-injectors are good for a few months.,5,"Partially correct, but more specific timeframe would be better."
What is shiatsu massage?,"For shiatsu massage, the therapist uses varied, rhythmic pressure on certain precise points of the body. These points are called acupressure points, and they are believed to be important for the flow of the body's vital energy, called chi. Proponents say shiatsu massage can help relieve blockages at these acupressure points.",Therapist applies rhythmic pressure on acupressure points.,10,"Perfect, concise explanation of shiatsu massage.",Massage technique that targets specific body points.,8,"Good attempt, could have included mention of chi energy flow."
What is reflexology massage?,"These areas are believed to correspond to different parts of the body. The massage, then, is expected to promote health and well-being.",A massage technique that applies pressure to reflex zones.,10,"Perfect answer, well done!",A type of massage that focuses on reflex points.,9,"Good answer, consider adding more details for clarity."
What is sports massage?,"Developed to help with muscle systems used for a particular sport, sports massage uses a variety of approaches to help athletes in training -- before, during, or after sports events. You might use it to promote flexibility and help prevent injuries. Or, it may help muscle strains, aiding healing after a sports injury.",Sports massage is a specialized form of massage therapy for athletes.,10,"The answer is clear and concise, providing an accurate description of sports massage.","Sports massage helps athletes with muscle systems before, during, or after sports events.",8,The answer is mostly correct but could be improved by mentioning specific benefits like promoting flexibility and preventing injuries.
What is Thai massage?,"During a Thai massage, the therapist uses his or her body to move the client into a variety of positions. This type of massage includes compression of muscles, mobilization of joints, and acupressure.","Thai massage involves compression, joint mobilization, and acupressure.",10,"Perfect answer, well done!",Thai massage is a type of traditional massage.,7,"Good start, but more details could be added about techniques used."
What is deep tissue massage?,"Four common strokes of Swedish massage are: Effleurage: a smooth, gliding stroke used to relax soft tissue Petrissage: the squeezing, rolling, or kneading that follows effleurage Friction: deep, circular movements that cause layers of tissue to rub against each other, helping to increase blood flow and break down scar tissue Tapotement: a short, alternating tap done with cupped hands, fingers, or the edge of the hand Deep tissue massage is best for giving attention to certain painful, stiff ""trouble spots"" in your body. The massage therapist uses slow, deliberate strokes that focus pressure on layers of muscles, tendons, or other tissues deep under your skin. Though less rhythmic than other types of massage, deep tissue massage may be therapeutic -- relieving chronic patterns of tension and helping with muscle injuries, such as back sprain.",Focuses on pressure in deep layers of muscle for relief.,9,"Excellent explanation, clear and concise.",Massage that is deep in layers of muscles for relief.,7,"Good attempt, could be more specific about benefits."
What are the strokes of Swedish massage?,"Four common strokes of Swedish massage are: Effleurage: a smooth, gliding stroke used to relax soft tissue Petrissage: the squeezing, rolling, or kneading that follows effleurage Friction: deep, circular movements that cause layers of tissue to rub against each other, helping to increase blood flow and break down scar tissue Tapotement: a short, alternating tap done with cupped hands, fingers, or the edge of the hand Deep tissue massage is best for giving attention to certain painful, stiff ""trouble spots"" in your body.","Effleurage, Petrissage, Friction, Tapotement",10,"Perfect answer, well done!","Effleurage, Petrissage, Friction",7,"Good effort, but remember to include Tapotement for a complete answer."
What is pregnancy massage?,"Pregnancy massage can help with these changes by reducing stress, decreasing arm and leg swelling, and relieving muscle and joint pain. Massage may be particularly helpful during a time when medication and other medical options may be more limited. Using specially designed massage pillows, the massage therapist will help get you into a comfortable position for this type of massage.",Massage therapy during pregnancy to reduce stress and pain.,9,"Good explanation, concise and accurate.",A type of massage for pregnant women to relieve discomfort.,7,Could specify more benefits of pregnancy massage.
What health problems can massage therapy help?,"Ask your doctor before using massage for any health condition, though. Back pain .","Back pain, stress, muscle tension, anxiety, circulation.",10,Excellent answer covering a variety of common issues massage therapy can help with.,"Muscle pain, relaxation, stress relief, circulation improvement.",8,"Good job mentioning some benefits, but could include more specific health conditions."
What is Swedish massage?,"The most common type of massage is Swedish massage therapy. It involves soft, long, kneading strokes, as well as light, rhythmic, tapping strokes, on topmost layers of muscles. This is also combined with movement of the joints. By relieving muscle tension, Swedish therapy can be both relaxing and energizing. And it may even help after an injury.","A massage technique involving long, kneading strokes.",10,"Perfect answer, clear and concise.",It's a type of massage that uses gentle strokes.,8,"Good, but could have mentioned tapping strokes and joint movements."
What is chair massage?,"Onsite, chair massages are done while you're seated fully clothed in a portable, specially designed chair. They usually involve a massage of your neck, shoulders, back, arms, and hands.",Massage done while seated in a specially designed chair.,9,"Good, concise answer covering the key points.","A massage involving neck, shoulders, back, arms, and hands.",7,Missing mention of being fully clothed and portable chair.
What is hot stone massage?,"For this kind of massage, the therapist places warmed stones on certain areas of the body, such as acupressure points. The stones may be used as massage tools or be temporarily left in place. Used along with other massage techniques, hot stones can be quite soothing and relaxing as they transmit heat deep into the body.",Therapist places warmed stones on body for relaxation.,7,"Good summary, could mention transmission of heat as well.",Massage using hot stones for relaxation and healing.,6,"Good effort, could mention specific areas like acupressure points."
What is neuromuscular therapy massage?,"Four common strokes of Swedish massage are: Effleurage: a smooth, gliding stroke used to relax soft tissue Petrissage: the squeezing, rolling, or kneading that follows effleurage Friction: deep, circular movements that cause layers of tissue to rub against each other, helping to increase blood flow and break down scar tissue Tapotement: a short, alternating tap done with cupped hands, fingers, or the edge of the hand Deep tissue massage is best for giving attention to certain painful, stiff ""trouble spots"" in your body. This type of massage includes compression of muscles, mobilization of joints, and acupressure.",Neuromuscular therapy massage is a specialized form of manual therapy that focuses on releasing trigger points.,10,"Perfect answer, well done!",Neuromuscular therapy massage is a type of massage that helps relax muscles.,5,"Good attempt, but could be more specific about trigger points and manual therapy."
How do you decide which massage style is best?,"Before you can decide which massage style is best for you, you need to ask yourself a question. Before booking a massage, let the therapist know what you're looking for and ask which style the therapist uses. Many use more than one style. Or the therapist may customize your massage, depending on your age, condition, or any special needs or goals you have.",Consider your needs and ask the therapist about their techniques.,10,Clear and concise answer that covers all necessary points.,Ask the therapist about their techniques and consider your needs.,8,"Good effort, but could be more detailed in explaining the decision-making process."
What are different massage therapy styles?,"Today, if you need or want a massage, you can choose from about 80 massage therapy styles with a wide variety of pressures, movements, and techniques. These all involve pressing, rubbing, or manipulating muscles and other soft tissues with hands and fingers. Sometimes, even forearms, elbows, or feet are used. The most common type of massage is Swedish massage therapy.","Swedish, deep tissue, hot stone, sports, Thai.",10,Great job! You listed multiple different massage therapy styles.,Swedish massage therapy is the most common.,7,"Good start, but remember there are many other styles available as well."
How are anxiety disorders diagnosed?,"If you have symptoms, your doctor will examine you and ask for your medical history. She may run tests to rule out medical illnesses that might be causing your symptoms. No lab tests can specifically diagnose anxiety disorders. If your doctor doesn't find any medical reason for how you're feeling, she may send you to a psychiatrist, psychologist, or another mental health specialist. Those doctors will ask you questions and use tools and testing to find out if you may have an anxiety disorder. Your doctor will consider how long and how intense your symptoms are when diagnosing you. She'll also check to see if the symptoms keep you from carrying out your normal activities.","Through a thorough examination, medical history, and psychiatric evaluation.",10,Great answer! Includes all key components of the diagnostic process.,By running lab tests to specifically diagnose anxiety disorders.,3,"Lab tests cannot diagnose anxiety disorders, need to consider psychiatric evaluation."
What are the symptoms of anxiety disorders?,"All anxiety disorders share some general symptoms: Panic, fear, and uneasiness Sleep problems Not being able to stay calm and still Cold, sweaty, numb or tingling hands or feet Shortness of breath Heart palpitations Dry mouth Nausea Tense muscles Dizziness Researchers don't know exactly what brings on anxiety disorders.","Panic, fear, uneasiness, sleep problems, inability to stay calm.",10,Good job covering all major symptoms accurately.,"Sweaty hands, shortness of breath, dizziness, tense muscles, nausea.",8,Missing key symptoms like heart palpitations and dry mouth.
What causes anxiety disorders?,"All anxiety disorders share some general symptoms: Panic, fear, and uneasiness Sleep problems Not being able to stay calm and still Cold, sweaty, numb or tingling hands or feet Shortness of breath Heart palpitations Dry mouth Nausea Tense muscles Dizziness Researchers don't know exactly what brings on anxiety disorders. Like other forms of mental illness, they stem from a combination of things, including changes in your brain and environmental stress, and even your genes. The disorders can run in families and could be linked to faulty circuits in the brain that control fear and other emotions.","Combination of brain changes, environmental stress, genetics.",8,Good understanding of the various factors contributing to anxiety disorders.,"Lack of sleep, stress, and fear contribute to anxiety disorders.",6,"Partial answer, missing information about genetic factors and brain changes."
How is psychotherapy used to treat anxiety disorders?,Psychotherapy: This is a type of counseling that addresses the emotional response to mental illness. A mental health specialist helps you by talking about how to understand and deal with your anxiety disorder. Cognitive behavioral therapy: This is a certain type of psychotherapy that teaches you how to recognize and change thought patterns and behaviors that trigger deep anxiety or panic.,Psychotherapy helps address emotional responses to mental illness.,8,"Good explanation, but could mention specific types of psychotherapy used.",Psychotherapy helps deal with anxiety by talking.,5,"Partially correct, but could elaborate on specific techniques used in psychotherapy for anxiety disorders."
How are medications used to treat anxiety disorders?,Most people with the condition try one or more of these therapies: Medication: Many antidepressants can work for anxiety disorders. They include escitalopram ( Lexapro) and fluoxetine ( Prozac). Certain anticonvulsant medicines (typically taken for epilepsy) and low-dose antipsychotic drugs can be added to help make other treatments work better. Anxiolytics are also drugs that help lower anxiety. Examples are alprazolam ( Xanax) and clonazepam ( Klonopin). They're prescribed for social or generalized anxiety disorder as well as for panic attacks.,Antidepressants such as Lexapro and Prozac can be used.,10,"Great job, complete and accurate answer!",Anticonvulsant and antipsychotic drugs can help manage anxiety.,8,"Good answer, but could mention anxiolytics for anxiety treatment as well."
What are the different types of anxiety disorders?,"Anxiety disorder is an umbrella term that includes different conditions: Panic disorder. You feel terror that strikes at random. During a panic attack, you may also sweat, have chest pain, and feel palpitations (unusually strong or irregular heartbeats). Sometimes you may feel like you're choking or having a heart attack. Social anxiety disorder. Also called social phobia, this is when you feel overwhelming worry and self-consciousness about everyday social situations. You fixate about others judging you or on being embarrassed or ridiculed. Specific phobias. You feel intense fear of a specific object or situation, such as heights or flying. The fear goes beyond what's appropriate and may cause you to avoid ordinary situations. Generalized anxiety disorder. You feel excessive, unrealistic worry and tension with little or no reason. They're prescribed for social or generalized anxiety disorder as well as for panic attacks.","Panic disorder, social anxiety disorder, specific phobias, generalized anxiety disorder.",10,Correct and complete answer.,"Panic, social anxiety, fear of specific objects, excessive worry.",7,"Partial answer, missed mentioning specific phobias."
What can help to manage the symptoms of anxiety disorders?,"If you have symptoms, your doctor will examine you and ask for your medical history. Caffeine is a mood-altering drug, and it may make symptoms of anxiety disorders worse. Eat right, exercise, and get better sleep. Brisk aerobic exercises like jogging and biking help release brain chemicals that cut stress and improve your mood. Sleep problems and anxiety disorder often go hand in hand. Make getting good rest a priority. Follow a relaxing bedtime routine. Talk to your doctor if you still have trouble sleeping. Ask your doctor or pharmacist before taking any over-the-counter meds or herbal remedies. Many contain chemicals that can make anxiety symptoms worse.","Exercise, proper diet, and good sleep hygiene.",10,Correct and comprehensive answer.,"Eat well, sleep better, avoid caffeine and exercise.",8,"Good effort, but could have mentioned herbal remedies and OTC meds."
What are some symptoms of colorectal cancer?,"Unfortunately, colorectal cancer may strike without symptoms. However, not all colorectal cancers are without symptoms. One of the early symptoms of colon cancer may be bleeding. Often, tumors bleed only small amounts, off and on, and evidence of the blood is found only during chemical testing of the stool. When tumors have grown larger, other symptoms may develop. Unusual stomach or gas pain Unexplained weight loss Fatigue Vomiting If you experience any of these symptoms, it is important to see your doctor to ensure proper diagnosis and treatment.","Bleeding, unusual stomach pain, weight loss, fatigue, vomiting.",10,Well done! You provided accurate symptoms of colorectal cancer.,"Stomach pain, weight loss, fatigue, vomiting, headache.",8,"Good effort, but you missed mentioning bleeding as a key symptom."
How is severe acute respiratory syndrome (SARS) diagnosed?,"If you have symptoms like a high fever, chest pain, or difficulty breathing, you should see a doctor, especially if you've just come back from a trip overseas. If your doctor suspects you have SARS, she can confirm it with lab tests and images from an X-ray or CT scan.",Lab tests and imaging like X-ray or CT scan.,10,Correct and concise answer.,"Visit a doctor, lab tests can confirm SARS.",8,"Good start, could mention imaging tests as well."
What can trigger a relapse when I'm trying to quit smoking?,"They can happen when you: · Drink your morning tea or coffee Have a beer, cocktail, or glass of wine Drive Get up during intermission at a show Check your texts or email Feel bored, sad, angry, or stressed Talk on the phone Need a break from work Even positive feelings of happiness or pleasure can be triggers.",Drinking morning tea or coffee can trigger a relapse.,9,"Good answer, specific and relevant to the question.",Eating breakfast can trigger a relapse.,5,"Partially correct, but not directly related to smoking triggers."
How can I fight smoking triggers that I can't avoid?,"Bring along something else to put in your mouth instead of a cigarette, such as a mint-flavored toothpick or some carrot sticks. On a walk, take deep breaths and focus on how good the fresh air feels in your lungs. To ride out a craving, you could also sip ice-cold water, take deep breaths, keep your hands busy by squeezing a rubber ball or doing a crossword puzzle, or meditating.",Bring along something else to put in your mouth instead of a cigarette.,10,"Perfect answer, includes a practical solution to combat smoking triggers.",Take deep breaths and focus on how good the fresh air feels in your lungs.,8,"Good start, but could be improved by suggesting additional strategies to fight smoking triggers."
How can you learn your smoking triggers?,"Learn to Spot Your Smoking Triggers Once you know yours, you can prepare to avoid or manage them. Before you quit, keep a journal for a few days or a week. Use your smartphone or a small notebook that you can easily carry with you. Every time you light a cigarette, record: The time of day How intense your craving feels, on a scale of 1 to 5 (with 5 being the most intense) What you're doing at that moment Where you are Who you're with How you feel (happy, stressed, bored, etc.)",Keep a journal to track when and where you smoke.,8,Good job capturing the essence of tracking smoking triggers.,Just pay attention to when you smoke.,4,Need to provide more specific details on how to track triggers.
What are my odds of getting atherosclerosis?,"If you're 40 and generally healthy, you have about a 50% chance of getting serious atherosclerosis in your lifetime. The risk goes up as you get older. Most adults older than 60 have some atherosclerosis, but most don't have noticeable symptoms.",50% chance if you're 40 and generally healthy.,8,"Good, accurate answer with relevant information.",It's rare to get atherosclerosis if you're healthy.,4,"Partial answer, lacks specific details and clarity."
Can aspirin prevent atherosclerosis?,"You might not have symptoms until your artery is nearly closed or until you have a heart attack or stroke. Stenting helps ease symptoms, but it does not prevent heart attacks. Bypass surgery: Your doctor takes a healthy blood vessel, often from your leg or chest, and uses it to go around a blocked segment. These procedures can have complications.","No, aspirin cannot prevent atherosclerosis.",10,Correct and concise answer.,Aspirin can help prevent atherosclerosis by thinning blood.,5,"Partially correct, but misleading as aspirin does not directly prevent atherosclerosis."
How effective are nonsurgical procedures for treating bowel incontinence?,"These minimally invasive procedures can reduce bowel incontinence in some people, without the risks of surgery. Because they are relatively new, their long-term effectiveness and safety aren't as well known as other treatments.",Minimally invasive procedures can reduce bowel incontinence effectively.,8,"Good answer, concise and accurate.",Nonsurgical procedures may help with bowel incontinence sometimes.,5,"Partial answer, lacks specificity and confidence."
What are the treatments for bowel incontinence?,Many effective treatments can help people with bowel incontinence. These include: medicine surgery minimally invasive procedures Talking to your doctor is the first step toward freedom from bowel incontinence.,"Medication, surgery, minimally invasive procedures.",10,Correct and complete answer.,Medication only.,5,"Partial answer, missing information about surgery and procedures."
